query,engine,bible_copilot_cited,bible_copilot_url_if_cited,competitors_cited,competitor_urls,notes
best AI Bible study app,Perplexity,NOT_TESTED,,,,Perplexity returned redirect/blocked response when fetched. Server-side rendering not exposed via plain HTTP. Manual test required (see baseline-2026-05-02.md script).
AI Bible study app with Greek and Hebrew,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
ChatGPT alternative for Bible study,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible app for inductive Bible study,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
AI app for sermon preparation,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible study companion app subscription,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Logos alternative cheap iOS,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
Bible app with cross references and original languages,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
AI Bible study for apologetics,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
best Bible study app 2026,Perplexity,NOT_TESTED,,,,Same as above - Perplexity blocks unauthenticated HTML fetch.
best AI Bible study app,Bing/Copilot,INCONCLUSIVE,,,,Bing /search returned a 691KB JS-rendered shell containing essentially no search-result content - Copilot answers render client-side. No useful citations extractable. Manual test required.
AI Bible study app with Greek and Hebrew,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
ChatGPT alternative for Bible study,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible app for inductive Bible study,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
AI app for sermon preparation,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible study companion app subscription,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Logos alternative cheap iOS,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
Bible app with cross references and original languages,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
AI Bible study for apologetics,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
best Bible study app 2026,Bing/Copilot,NOT_TESTED,,,,Skipped after sample query confirmed Bing SERP returns JS shell only.
best AI Bible study app,You.com,INCONCLUSIVE,,,,"You.com /search returned 67KB JS shell with no Bible Copilot or competitor citations parseable. The youchatStreaming endpoint timed out. No useful citations extractable."
AI Bible study app with Greek and Hebrew,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
ChatGPT alternative for Bible study,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible app for inductive Bible study,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
AI app for sermon preparation,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible study companion app subscription,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Logos alternative cheap iOS,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
Bible app with cross references and original languages,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
AI Bible study for apologetics,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
best Bible study app 2026,You.com,NOT_TESTED,,,,Skipped after sample query confirmed You.com SERP returns JS shell only.
best AI Bible study app,ChatGPT,NOT_TESTED,,,,No public HTTP endpoint - requires authenticated session and JS-rendered UI. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,ChatGPT,NOT_TESTED,,,,Same as above. Manual test required.
best AI Bible study app,Gemini,NOT_TESTED,,,,No public HTTP endpoint - requires Google login and JS-rendered UI. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,Gemini,NOT_TESTED,,,,Same as above. Manual test required.
best AI Bible study app,Meta AI,NOT_TESTED,,,,No public HTTP endpoint - lives inside Facebook/Instagram/WhatsApp products. Manual test script in baseline-2026-05-02.md.
AI Bible study app with Greek and Hebrew,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
ChatGPT alternative for Bible study,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible app for inductive Bible study,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
AI app for sermon preparation,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible study companion app subscription,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Logos alternative cheap iOS,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
Bible app with cross references and original languages,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
AI Bible study for apologetics,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
best Bible study app 2026,Meta AI,NOT_TESTED,,,,Same as above. Manual test required.
